Código IATA,Nombre,Sirve a,Región o estado,País
MKC,Aeropuerto Urbano Charles B. Wheeler,Kansas City,Misuri,Estados Unidos
MLH[nota 1]​,Aeropuerto de Basilea-Mulhouse-Friburgo,"Basilea, Mulhouse, Friburgo",Alsacia,Francia
MLN,Aeropuerto de Melilla,Melilla,Melilla,España
MPN,Base Aérea de Monte Agradable,Isla Soledad,Islas Malvinas,Reino Unido[nota 7]​
MUC,Aeropuerto Internacional de Múnich-Franz Josef Strauss,Munich,Baviera,Alemania
MXP,Aeropuerto de Milán-Malpensa,Milán,Lombardía,Italia
MZR,Aeropuerto de Mazar-e Sarif,Mazar-e Sarif,Provincia de Balj,Afganistán
MCO,Orlando International Airport,Orlando,Florida,Estados Unidos
NAP,Aeropuerto de Nápoles-Capodichino,Nápoles,Campania,Italia
NIC,Aeropuerto de Nicosia,Nicosia,Distrito de Nicosia,Chipre [nota 8]​
NLU,Aeropuerto Internacional Felipe Ángeles,Ciudad de México,México,México
NLK,Aeropuerto de la Isla Norfolk (en),Kingston,Isla Norfolk,Australia
OPO,Aeropuerto de Francisco Sá Carneiro,Oporto,Región Norte,Portugal
ORA,Aero Club Orán,San Ramón de la Nueva Orán,Salta,Argentina
ORD,Aeropuerto Internacional Chicago-O'Hare,Chicago,Illinois,Estados Unidos
ORK,Aeropuerto de Cork,Cork,Munster,Irlanda
ORY,Aeropuerto de París-Orly,París,Isla de Francia,Francia
OYA,Aeropuerto Dr. Diego Nicolás Díaz Colodrero,Goya,Corrientes,Argentina
PBR,Aeropuerto de Puerto Barrios “Aeropuerto Internacional La Tierra de Dios”,Puerto Barrios,Izabal,Guatemala
PDP,Aeropuerto Internacional de Punta del Este,Maldonado y Punta del Este,Maldonado,Uruguay
PDL,Aeropuerto João Paulo II,Isla de São Miguel,Islas Azores,Portugal
PHL,Aeropuerto Internacional de Filadelfia,Filadelfia,Pensilvania,Estados Unidos
PIX,Aeropuerto de Pico,Isla del Pico,Islas Azores,Portugal
PJC,Aeropuerto Doctor Fuster,Pedro Juan Caballero (Paraguay),Amambay,Paraguay
PNA,Aeropuerto de Pamplona,Noáin,Navarra,España
PRA,Aeropuerto General Justo José de Urquiza,Paraná,Entre Ríos,Argentina
PRQ,Aeropuerto de Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,Chaco,Argentina
PSY,Aeropuerto de Puerto Argentino/Stanley,Puerto Argentino/Stanley,Islas Malvinas,Reino Unido
PTY,Aeropuerto Internacional de Tocumen,Ciudad de Panamá,Provincia de Panamá,Panamá
PUJ,Aeropuerto Internacional de Punta Cana,Punta Cana,La Altagracia,República Dominicana
PUQ,Aeropuerto Internacional Presidente Carlos Ibáñez del Campo,Punta Arenas,Magallanes y Antártica Chilena,Chile
PXO,Aeropuerto de Porto Santo,Isla de Porto Santo,Madeira,Portugal
QGY,Aeropuerto Internacional de Györ-Pér,Györ,Győr-Moson-Sopron,Hungría
QRC,Aeródromo de la Independencia,Rancagua,O'Higgins,Chile
QSA,Aeropuerto de Sabadell,Sabadell,Cataluña,España
RAK,Aeropuerto de Marrakech-Menara,Marrakech,Marrakech-Safí,Marruecos
RBA,Aeropuerto de Rabat-Salé,Rabat,Rabat-Salé-Kenitra,Marruecos
RES,Aeropuerto Internacional de Resistencia,Ciudad de Resistencia,Chaco,Argentina
REU,Aeropuerto de Reus,"Reus, Tarragona",Cataluña,España
RGA,Aeropuerto Internacional Gob. Ramón Trejo Noel,Río Grande,Tierra del Fuego,Argentina
RHD,Aeropuerto Internacional Termas de Río Hondo,Termas de Río Hondo,Santiago del Estero,Argentina
RLO,Aeropuerto Internacional Valle del Conlara,Merlo,San Luis,Argentina
RMU,Aeropuerto Internacional de la Región de Murcia,Región de Murcia,Región de Murcia,España
ROS,Aeropuerto Internacional Rosario,Rosario,Santa Fe,Argentina
RRG,Aeropuerto Sir Gaëtan Duval,Rodrigues,Rodrigues,Mauricio
RSA,Aeropuerto de Santa Rosa,Ciudad de Santa Rosa,La Pampa,Argentina
RUH,Aeropuerto Internacional Rey Khalid,Riad,Provincia de Riad,Arabia Saudita
SAL,Aeropuerto Internacional de El Salvador San Óscar Arnulfo Romero y Galdámez,San Salvador,San Salvador,El Salvador
SAP,Aeropuerto Internacional Ramon Villeda Morales,San Pedro Sula,Cortés,Honduras
SBZ,Aeropuerto Internacional de Sibiu,Sibiu,Distrito de Sibiu,Rumania
SCU,Aeropuerto Internacional Antonio Maceo y Grajales,Santiago de Cuba,Santiago de Cuba,Cuba
SCL,Aeropuerto Internacional Arturo Merino Benítez,Santiago de Chile,Metropolitana de Santiago,Chile
SDE,Aeropuerto Vicecomodoro Ángel de la Paz Aragonés,Ciudad de Santiago del Estero,Santiago del Estero,Argentina
SDQ,Aeropuerto Internacional José Francisco Peña Gómez,Santo Domingo,Santo Domingo,República Dominicana
SFM,Aeropuerto Internacional de Sacramento,Sacramento,California,Estados Unidos
SFN,Aeropuerto de Sauce Viejo,Santa Fe,Santa Fe,Argentina
SIN,Aeropuerto Internacional de Singapur-Changi,Singapur,Consejo del Sudeste [nota 9]​,Singapur
SJO,Aeropuerto Internacional Juan Santamaría,San José,GAM,Costa Rica
SJZ,Aeropuerto de São Jorge,Isla de São Jorge,Islas Azores,Portugal
SKG,Aeropuerto Internacional Macedonia,Tesalónica,Macedonia Central,Grecia
SLA,Aeropuerto Internacional de Salta Martín Miguel de Güemes,Ciudad de Salta,Salta,Argentina
SMA,Aeropuerto de Santa Maria,Isla de Santa Maria,Islas Azores,Portugal
SNU,Aeropuerto Internacional Abel Santamaría,Santa Clara,Villa Clara,Cuba
SUF,Aeropuerto Internacional de Lamezia Terme,Lamezia Terme,Lamezia Terme,Italia
SVO,Aeropuerto Internacional de Moscú-Sheremétievo,Moscú,Moscú,Rusia
SVQ,Aeropuerto de Sevilla,Sevilla,Andalucía,España
SXB,Aeropuerto de Estrasburgo,Estrasburgo,Alsacia,Francia
SYD,Aeropuerto Internacional Kingsford Smith,Sídney,Nueva Gales del Sur,Australia
TER,Aeropuerto de Lajes,Isla Terceira,Islas Azores,Portugal
TFN,Aeropuerto de Tenerife Norte,Tenerife,Canarias,España
TFS,Aeropuerto de Tenerife Sur,Tenerife,Canarias,España
TGD,Aeropuerto de Podgorica,Montenegro,Montenegro,Montenegro
TGU,Aeropuerto de Toncontín,Tegucigalpa,Francisco Morazán,Honduras
THF,Aeropuerto de Berlín-Tempelhof,Berlín,Berlín,Alemania
TLS,Aeropuerto de Toulouse Blagnac,Toulouse,Occitania,Francia
TLV,Aeropuerto Internacional Ben Gurión,Tel Aviv,Distrito Central,Israel
TPE,Aeropuerto Internacional de Taiwán Taoyuan,Taipéi,Taoyuan,Taiwán [nota 10]​
TRS,Aeropuerto de Trieste - Friuli Venezia Giulia,Trieste,Friul-Venecia Julia,Italia
TSE,Aeropuerto Internacional de Astaná,Astaná,Provincia de Akmola,Kazajistán
TTG,Aeropuerto General Enrique Mosconi/Tartagal,Tartagal,Salta,Argentina
TUR,Aeropuerto de Turku,Turku,Finlandia del Sudoeste,Finlandia
UIO,Aeropuerto Internacional Mariscal Sucre,Tababela,Pichincha,Ecuador
USH,Aeropuerto Internacional Malvinas Argentinas,Ushuaia,Tierra del Fuego,Argentina
UZU,Aeropuerto de Curuzú Cuatiá,Curuzú Cuatiá,Corrientes,Argentina
VCP,Aeropuerto de Viracopos,Sao Paulo,São Paulo,Brasil
VDC,Aeropuerto de Vitoria da Conquista,Bahia,Bahía,Brasil
VDM,Aeropuerto Gobernador Castello,Viedma,Río Negro,Argentina
VIE,Aeropuerto de Viena-Schwechat,Viena,Viena,Austria
VKO,Aeropuerto Internacional de Moscú-Vnúkovo,Moscú,Moscú,| Rusia
VLC,Aeropuerto de Valencia,Manises,Comunidad Valenciana,España
VGO,Aeropuerto de Vigo,Vigo,Galicia,España
VLL,Aeropuerto de Villanubla,Valladolid,Castilla y León,España
VME,Aeropuerto de Villa Reynolds,Villa Mercedes,San Luis,Argentina
VVI,Aeropuerto Internacional Viru Viru,Santa Cruz de la Sierra,Santa Cruz,Bolivia
WLG,Aeropuerto Internacional de Wellington,Wellington,Wellington,Nueva Zelanda
XRY,Aeropuerto de Jerez,Jerez,Andalucía,España
XPL,Aeropuerto Internacional de Comayagua,Comayagua,Comayagua,Honduras
YFB,Aeropuerto de Iqaluit,Iqaluit,Nunavut,Canadá
YHU,Aeropuerto de Montreal-Saint Hubert,Montreal,Quebec,Canadá
YHZ,Aeropuerto Internacional de Halifax-Stanfield,Halifax,Nueva Escocia,Canadá
YOW,Aeropuerto Internacional de Ottawa,Ottawa,Ontario,Canadá
YQB,Aeropuerto Internacional Jean-Lesage de Quebec,Quebec,Quebec,Canadá
YRB,Aeropuerto de Resolute Bay,Resolute,Nunavut,Canadá
YUL,Aeropuerto Internacional Pierre Elliott Trudeau,Montreal,Quebec,Canadá
YVM,Aeropuerto de Qikiqtarjuaq,Qikiqtarjuaq (en),Nunavut,Canadá
YVR,Aeropuerto Internacional de Vancouver,Vancouver,Columbia Británica,Canadá
YWG,Aeropuerto Internacional James Armstrong Richardson,Winnipeg,Manitoba,Canadá
YYY,Aeropuerto de Mont-Joli,Mont-Joli,Quebec,Canadá
YYZ,Aeropuerto Internacional Toronto Pearson,Toronto,Ontario,Canadá
ZAG,Aeropuerto de Zagreb-Pleso,Zagreb,Condado de Zagreb,Croacia
ZAZ,Aeropuerto de Zaragoza,Zaragoza,Aragón,España
